Date/Time,Generation
 02/25  01:00:00,0	
 02/25  02:00:00,0	
 02/25  03:00:00,0	
 02/25  04:00:00,0	
 02/25  05:00:00,0	
 02/25  06:00:00,0	
 02/25  07:00:00,0
 02/25  08:00:00,16.161	
 02/25  09:00:00,38.809	
 02/25  10:00:00,80.656	
 02/25  11:00:00,127.783
 02/25  12:00:00,150.917	
 02/25  13:00:00,130.812	
 02/25  14:00:00,111.567
 02/25  15:00:00,84.763	
 02/25  16:00:00,46.307	
 02/25  17:00:00,11.185	
 02/25  18:00:00,0	
 02/25  19:00:00,0	
 02/25  20:00:00,0	
 02/25  21:00:00,0	
 02/25  22:00:00,0	
 02/25  23:00:00,0
 02/25  24:00:00,0	